#,File,Function,Line,Opus 4.6,Codex (gpt-5-codex),Gemini 3.1 Pro Preview,Consensus,AAA Equivalent,Strength,Weakness,Upgrade,Severity
214,terrain_waterfalls.py,build_outflow_channel,452,B-,B+,C,B-,Gaea River/Channel carve,Pushes shallow trench along outflow waypoints with proper min-delta merging (keeps deepest).,Square-kernel iteration per waypoint (Python double loop) — slow; linear taper rather than parabolic; no meander.,Vectorize with scipy.ndimage.distance_transform_edt across path mask; add meander.,polish
215,terrain_waterfalls.py,carve_impact_pool,415,B,A-,C+,B,Gaea Pool/Basin carve,"Parabolic bowl is correct — center deepest, 0 at rim. Non-destructive delta approach respects pipeline protocol.",Circular footprint; real plunge pools have directional scour (downstream elongation) from jet impact.,Elliptical footprint oriented along outflow_direction_rad; erode lip downstream.,polish
216,terrain_waterfalls.py,detect_waterfall_lip_candidates,202,A-,B,B-,B,Horizon Forbidden West river-lip detector / Houdini flow-based feature tagging,"Real drainage+drop joint threshold, D8 descent, per-cell confidence blending drainage and drop scores, D8-neighbor dedup to collapse lip rows.",Python nested for-loop — slow on >1k grids; confidence is linear blend (could use logistic).,Vectorize with numpy argmax over D8 stack and np.where thresholds.,polish
217,terrain_waterfalls.py,generate_foam_mask,515,B-,B,C,B-,UE5 water foam mask,Scales foam by chain.foam_intensity (which is tied to total_drop) — physically motivated.,"Same radial profile as mist; no foam along plunge path itself, only pool.",Add foam along full plunge_path and outflow with turbulence-derived intensity.,polish
218,terrain_waterfalls.py,generate_mist_zone,483,B-,B+,C,B-,Horizon Forbidden West localized volumetric fog,"Radial falloff from pool center, returns float32 for shader consumption.",Perfect circle — wind direction not modeled; Python inner loops.,Bias mist downwind from chain's outflow vector; vectorize.,polish
219,terrain_waterfalls.py,pass_waterfalls,659,A-,B-,B,B,Gaea hydrology graph node / RDR2 river pass,"Full chain: lips -> solve -> carve pools -> outflow -> foam/mist masks -> wet_rock integration with water_network. Applies pool_delta to height (real mutation). Region scoping. Fixes pipeline-breaks #1, #2, #5 per comments. Issues validated and downgraded to warning.",Caps at 16 chains (soft limit); wet_rock merging uses max instead of accumulate.,Parameterize cap; consider alpha-blend wet_rock accumulation.,polish
220,terrain_waterfalls.py,register_bundle_c_passes,794,—,A,B,A-,,,,,polish
221,terrain_waterfalls.py,solve_waterfall_from_river,274,A-,B-,B-,B,Houdini cascade solver / RDR2 waterfall chain authoring,"Traces plunge path with plateau detection, records multi-tier drop segments, derives pool radius from sqrt(total_drop), computes outflow direction, generates deterministic chain_id from world position.",Plateau detection is heuristic (plateau_hits>=2); outflow cap of 32 cells may truncate long cascades; no actual overhang geometry — chain is centerline only.,"Add overhang detection at lip (undercut carving), longer outflow cap, multi-drop merging with confluence.",important
222,terrain_waterfalls.py,validate_waterfall_system,553,—,A-,B,B+,,,,,polish
223,terrain_waterfalls.py,validate_waterfall_volumetric,590,A-,C+,B,B,Custom AAA mesh-contract validator,"Enforces min vertex density per meter, non-zero thickness, front_curvature >=3 — directly addresses user's 'must be 3D volumetric' rule from memory.","Only checks profile params, not actual mesh generated — relies on downstream to honor profile.","Round-trip check: generate mesh, measure vert density, feed back into validation.",polish
