# Summary: audited §11.1-§11.5 against main HEAD 3cc63c55ed04df7035c1c06a8cc754e20a0b1ce1 using git show main:<file> blobs only.
# Scope parsed 136 PR table rows, including active rows, moved/deferred trace rows, and Block 5 sub-block rows. Output contains 253 TSV records:
# 206 cite/file records plus 47 NO_CITE PR rows. Status totals: VALID=56, STALE=40, OUT_OF_FILE=6, NEW_FILE_NOT_ON_MAIN=104, NO_CITE=47.
# Compared with CODEX1 baseline (23 valid / 39 stale / 3 out-of-file / 61 no-cite), raw valid count improved by +33 and all-record valid ratio rose
# from 18.3% to 22.1%. True line/file-record quality did not improve: VALID among cite/file records fell from 35.4% baseline to 27.2% because
# Phase 4 added many not-yet-on-main rows and several older stale anchors survived restructure. So answer is mixed: yes, more anchors are now
# verified; no, §11 is not cite-clean enough for autonomous dispatch without repair. Residual stale cites escaping fixes include PR #3
# handlers/terrain_pipeline.py:1449,1510; #5a handlers/terrain_water_variants.py:781,878; #5b terrain_unity_export.py:2270,2278; #8
# handlers/terrain_pipeline.py:940,956; #11 providers/hunyuan3d2_provider.py:274 and handlers/asset_generation.py:699,706; #12
# handlers/terrain_unity_export.py:2484,2510; #15 handlers/terrain_cliffs.py:2397; #16 terrain_stratigraphy.py:1069; #23
# handlers/environment.py:4630,4689 and :5237; #24 terrain_cliffs.py:890; #29 terrain_pipeline.py:1133,1191; #34
# handlers/terrain_checkpoints.py:97,102; #35 handlers/terrain_pipeline.py:992,999; #36 profile instance cites; #43 vegetation/procedural grass;
# #45 handlers/environment.py:2861; #62 water-depth cites; #65 dead-RNG cleanup cites; B5-U2/B5-U3/B5-U4 importer cites; B5-T1 visual QA; B5-A4
# asset-budget cites; and B5-DOC2 backfill cites. Phase 4 focus rows B5-U-NAV, B5-U15-U22, B5-C7-C12, B5-D5-D8, B5-T8-T10, and #65 are mostly
# NEW_FILE_NOT_ON_MAIN or no-line documentation; expected, but they need stronger caveats before agents treat them as main anchors. Highest-risk
# repair order: stale surgical-code rows first, then out-of-file rows, then Phase 4 NEW rows. Do not dispatch PR owners from rows marked STALE,
# OUT_OF_FILE, or NO_CITE unless the PR packet explicitly says the cite is historical/negative evidence rather than the edit target.
pr_number	pr_title	spec_cite	actual_path_on_main	actual_line_or_status	status	notes
B5-C1	fix(coherence): unify water-channel naming registry + YAML safeload discipline (re-tagged 5b per Phase 2.5 Fix B — pilot-critical: lands BEFORE #28/#57/#58 YAML loaders)	tests/test_water_channel_registry.py	veilbreakers_terrain/tests/test_water_channel_registry.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-C2	fix(coherence): serialize terrainunityexport.py writer-edit dep chain	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-C3	fix(coherence): break #56 ↔ #55 cycle (vegetationsystem before delete)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-C4	DROPPED — redundant after Fix 1.1 promoted chunkseed API to PR #15.5; PR #18 migration now passes seedscope directly via the new module API. C-1 propagation absorbed into PR #18 acceptance criteria.	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-C5	fix(coherence): register watersurfacemask channel (PR #37 reads, no PR creates)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-C6	fix(coherence): serialize terrainpipeline.py writer-edit chain (mirrors B5-C2 for the other multi-edit hotspot)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-C7	chore(channels): corruptionmap orphan-write cleanup (Fix 4.3)	handlers/biome_channels.py	veilbreakers_terrain/handlers/biome_channels.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-C7	chore(channels): corruptionmap orphan-write cleanup (Fix 4.3)	tests/test_corruption_map_orphan.py	veilbreakers_terrain/tests/test_corruption_map_orphan.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-C8	"fix(channels): wrap weatheringtimeline as registered Pass with overrides=(""wetness"",) (Fix 4.4)"	tests/test_weathering_timeline_pass.py	veilbreakers_terrain/tests/test_weathering_timeline_pass.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-C9	chore(channels): re-attribute 10 phantom channel reads to actual readers (Fix 4.6 — REPLACES withdrawn terrainvisualqa.py claim per R2-Opus-3)	docs/superpowers/specs/CHANNEL_GRAPH.md	docs/superpowers/specs/CHANNEL_GRAPH.md	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-C9	chore(channels): re-attribute 10 phantom channel reads to actual readers (Fix 4.6 — REPLACES withdrawn terrainvisualqa.py claim per R2-Opus-3)	CHANNEL_GRAPH.md	CHANNEL_GRAPH.md	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-C9	chore(channels): re-attribute 10 phantom channel reads to actual readers (Fix 4.6 — REPLACES withdrawn terrainvisualqa.py claim per R2-Opus-3)	tests/test_channel_graph_attribution.py	veilbreakers_terrain/tests/test_channel_graph_attribution.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-C9	chore(channels): re-attribute 10 phantom channel reads to actual readers (Fix 4.6 — REPLACES withdrawn terrainvisualqa.py claim per R2-Opus-3)	CHANNEL_GRAPH.md	CHANNEL_GRAPH.md	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-C10	fix(channels): materialzones — add producer OR remove from terrainroughnessdriver consumedchannels (Fix 4.7 — phantom prerequisite)	tests/test_material_zones_no_phantom.py	veilbreakers_terrain/tests/test_material_zones_no_phantom.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-C11	fix(channels): forestmask producer — 5 readers, 0 writers (Fix 4.8 — broken consumer chain)	tests/test_forest_mask_chain.py	veilbreakers_terrain/tests/test_forest_mask_chain.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-C12	fix(channels): 6 spec §3.4 names absent from production (Fix 4.9 — was claimed 5; actual 6 per audit recount)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-D1	PROMOTED to PR #15.5 (Block 1) — API now lands earlier; downstream migration of 100 prod + 79 test sites in PR #18	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-D2	feat(chunks): chunks/cacheinvalidator.py (chunk-grid-aware content-hash + dependency graph)	chunks/cache_invalidator.py	veilbreakers_terrain/chunks/cache_invalidator.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-D2	feat(chunks): chunks/cacheinvalidator.py (chunk-grid-aware content-hash + dependency graph)	chunks/cache_invalidator.py	veilbreakers_terrain/chunks/cache_invalidator.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-D2	feat(chunks): chunks/cacheinvalidator.py (chunk-grid-aware content-hash + dependency graph)	tests/test_cache_invalidator.py	veilbreakers_terrain/tests/test_cache_invalidator.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-D3	feat(chunks): watershed-downstream invalidator	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-D4	feat(chunks): chunks/chunkbaker.py + single-chunk CLI	chunks/chunk_baker.py	veilbreakers_terrain/chunks/chunk_baker.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-D4	feat(chunks): chunks/chunkbaker.py + single-chunk CLI	chunks/chunk_baker.py	veilbreakers_terrain/chunks/chunk_baker.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-D5	feat(chunks): chunkworldsize=512 enforced; biome-unit constant added (Fix 4.2 — REFRAMES 4096m→512m subchunk rewrite per R2-Opus-3 — no rewrite needed; chunkworldsize parametric default already supports this; clarifies biome-unit vs streaming-unit)	tests/test_chunking_constants.py	veilbreakers_terrain/tests/test_chunking_constants.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-D6	feat(chunks): crash-resilient bake with .partial → .done atomic finish marker (Fix 4.17)	chunks/chunk_baker.py	veilbreakers_terrain/chunks/chunk_baker.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-D7	feat(chunks): sidecar .sha256 files for binary artifact integrity (Fix 4.18 — REFRAMED per R2-Opus-3: sidecar approach, NOT tail-append; PNG IEND chunk + RAW exact-bytes break tail-append schemes)	tests/test_sha256_sidecar_integrity.py	veilbreakers_terrain/tests/test_sha256_sidecar_integrity.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-D8	feat(chunks): asset schema migration framework (Fix 4.19)	chunks/schema_migrations/v1_to_v2.py:4	veilbreakers_terrain/chunks/schema_migrations/v1_to_v2.py	file missing on main	NEW_FILE_NOT_ON_MAIN	file absent on main; Phase/new-file documentation row or explicit NEW/does-not-exist note
B5-D8	feat(chunks): asset schema migration framework (Fix 4.19)	chunks/schema_migrations/v1_to_v2.py:8	veilbreakers_terrain/chunks/schema_migrations/v1_to_v2.py	file missing on main	NEW_FILE_NOT_ON_MAIN	file absent on main; Phase/new-file documentation row or explicit NEW/does-not-exist note
B5-D8	feat(chunks): asset schema migration framework (Fix 4.19)	meta.json	meta.json	file missing on main	NEW_FILE_NOT_ON_MAIN	Phase 4 new/missing file path has no numeric line; expected documentation flag
B5-D8	feat(chunks): asset schema migration framework (Fix 4.19)	chunks/schema_migrations/v1_to_v2.py	veilbreakers_terrain/chunks/schema_migrations/v1_to_v2.py	file missing on main	NEW_FILE_NOT_ON_MAIN	Phase 4 new/missing file path has no numeric line; expected documentation flag
B5-D8	feat(chunks): asset schema migration framework (Fix 4.19)	tests/test_schema_migration.py	veilbreakers_terrain/tests/test_schema_migration.py	file missing on main	NEW_FILE_NOT_ON_MAIN	Phase 4 new/missing file path has no numeric line; expected documentation flag
B5-T1	feat(tests): remaining test-infra wiring after PR #6.5 lands baseline + harness — full goldens framework, Render-Goldens CI lane, terrainvisualqa.py:706 SSIM hookup	terrain_visual_qa.py:706	veilbreakers_terrain/handlers/terrain_visual_qa.py	706	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 706: committed baseline. Development seeding scripts can pass
B5-T1b	feat(tests): foreststratification baseline + render-proof PR (binds §4.4 five-layer stratification to a goldens fixture)	tests/golden_scenarios/forest_canopy_layered/{closed_canopy.png	tests/golden_scenarios/forest_canopy_layered/{closed_canopy.png	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-T1b	feat(tests): foreststratification baseline + render-proof PR (binds §4.4 five-layer stratification to a goldens fixture)	open_canopy.png	open_canopy.png	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-T1b	feat(tests): foreststratification baseline + render-proof PR (binds §4.4 five-layer stratification to a goldens fixture)	tests/test_golden_scenarios.py	veilbreakers_terrain/tests/test_golden_scenarios.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-T2	feat(tests): pytest-benchmark + nightly perf cron	.github/workflows/perf-nightly.yml	github/workflows/perf-nightly.yml	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-T3	feat(tests): hypothesis property tests on channel invariants	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-T4	feat(tests): 18-artifact byte-identity matrix (concrete acceptance per Fix 1.22)	tests/test_phase8_determinism_guardrails.py:53	veilbreakers_terrain/tests/test_phase8_determinism_guardrails.py	53	VALID	matches CODEX1 classification after git-show reprobe; test function verified; artifact list below still only 3 outputs
B5-T5	feat(tests): protocol enforcement 21/74 → ≥60/74	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-T6	feat(tests): pytest-rerunfailures + flaky-hunter nightly	.github/workflows/flaky-hunter.yml	github/workflows/flaky-hunter.yml	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-T7	feat(ci): fast-lane vs nightly-full split	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-CI1	feat(ci): GitHub-hosted GPU larger runner for nightly perf gate (lands ONLY if §11.7 #3 / honesty register #9 chooses Path 2 or Path 3)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-T8	feat(tests): NavMeshData round-trip + 100-agent stress (Fix 4.21 — companion gate for Fix 4.1 navmesh path)	tests/test_navmesh_recast_roundtrip.py	veilbreakers_terrain/tests/test_navmesh_recast_roundtrip.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-T8	feat(tests): NavMeshData round-trip + 100-agent stress (Fix 4.21 — companion gate for Fix 4.1 navmesh path)	tests/test_navmesh_100_agent_stress.py	veilbreakers_terrain/tests/test_navmesh_100_agent_stress.py	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-T9	feat(tests): Profiler.GetCounterValueAsLong frame-time gates (Fix 4.26)	unity_plugin/Tests/PlayMode/VbFrameTimeGates.cs	unity_plugin/Tests/PlayMode/VbFrameTimeGates.cs	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-T10	feat(tests): Burst hash + IL2CPP determinism reproducibility gate (Fix 4.29)	unity_plugin/Tests/EditMode/VbBuildReproducibility.cs	unity_plugin/Tests/EditMode/VbBuildReproducibility.cs	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-A1	feat(asset-budget): v6 controller bypass — wire to controller	scripts/build_terrain_aaa_node_v6.py:187,287	scripts/build_terrain_aaa_node_v6.py	187,287	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
B5-A2	feat(asset-budget): missing emitters — splatsecondary.png (layers 4-7), per-layer albedo/normal/mask/height/detail.png, flowmap.png (RG16), triplanarmask.png, vertexao.bin	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-A3	feat(asset-budget): BC compression hard validator + PNG-not-EXR splatmap	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-A4	feat(asset-budget): lodmeshes validator + manifest emission gate	vegetation_system.py:1561,1600	veilbreakers_terrain/handlers/vegetation_system.py	1561,1600	VALID	"line window matches cite intent tokens asset,manifest,emission,manife; actual: 1561: dict with at least ``mesh_asset_path``, ``lod_meshes``, ``category`` | 1600: entry.setdefault(""lod_meshes"", [])"
B5-A4	feat(asset-budget): lodmeshes validator + manifest emission gate	vegetation_system.py:1284	veilbreakers_terrain/handlers/vegetation_system.py	1284	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 1284: # Pure-logic spec mode — no Blender required
B5-A4	feat(asset-budget): lodmeshes validator + manifest emission gate	procedural_grass.py:685	veilbreakers_terrain/handlers/procedural_grass.py	685	VALID	"line window matches cite intent tokens asset,species; actual: 685: ""lod_meshes"": [],"
B5-A4	feat(asset-budget): lodmeshes validator + manifest emission gate	procedural_grass.py:720	veilbreakers_terrain/handlers/procedural_grass.py	720	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 720: 
B5-DEP2	sec(deps): lockfile + bake-env.yml + --require-hashes	bake-env.yml	bake-env.yml	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-DEP2	sec(deps): lockfile + bake-env.yml + --require-hashes	uv.lock	uv.lock	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-DEP2	sec(deps): lockfile + bake-env.yml + --require-hashes	requirements-lock.txt	requirements-lock.txt	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-DEP2	sec(deps): lockfile + bake-env.yml + --require-hashes	bake-env.yml	bake-env.yml	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-DEP2	sec(deps): lockfile + bake-env.yml + --require-hashes	bake-env.yml	bake-env.yml	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-DEP3	sec(supply-chain): .github/dependabot.yml + SHA-pin Actions + HF Space SHA + CodeQL security-extended	.github/dependabot.yml	github/dependabot.yml	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-DEP3	sec(supply-chain): .github/dependabot.yml + SHA-pin Actions + HF Space SHA + CodeQL security-extended	.github/dependabot.yml	github/dependabot.yml	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-DEP3	sec(supply-chain): .github/dependabot.yml + SHA-pin Actions + HF Space SHA + CodeQL security-extended	dependabot.yml	dependabot.yml	file missing on main	NEW_FILE_NOT_ON_MAIN	path has no numeric line; missing/new file flagged for documentation
B5-DEP4	sec(secrets): secret hygiene baseline (lands ONLY if §11.7 #3 / honesty register #9 chooses Path 2 or Path 3 — needed for runner SSH keys / GHCR PATs)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-DEP5	sec(ci): runner isolation rules per harden-runner pattern (lands ONLY if Path 2 or Path 3 from §11.7 #3 / honesty register #9)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-DOC1	docs(archive): 14 superseded markdown files → docs/archive/2026-04/	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-DOC2	docs(supersede): patch 04-27 master implementation guide with Batch15 ✅ FIXED status + SUPERSEDED-BY banner	_water_network.py:907,929	veilbreakers_terrain/handlers/_water_network.py	907,929	STALE	"matches CODEX1 classification after git-show reprobe; ""line exists, but probe does not match row claim; actual: 907: lut_fy = np.array( | 929: vertex_grid_indices: """"np.ndarray"""","""
B5-DOC2	docs(supersede): patch 04-27 master implementation guide with Batch15 ✅ FIXED status + SUPERSEDED-BY banner	procedural_grass.py:350,352	veilbreakers_terrain/handlers/procedural_grass.py	350,352	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
B5-DOC2	docs(supersede): patch 04-27 master implementation guide with Batch15 ✅ FIXED status + SUPERSEDED-BY banner	coastline.py:1242	veilbreakers_terrain/handlers/coastline.py	1242	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 1242: # Tidal zone
B5-DOC2	docs(supersede): patch 04-27 master implementation guide with Batch15 ✅ FIXED status + SUPERSEDED-BY banner	_terrain_erosion.py:318	veilbreakers_terrain/handlers/_terrain_erosion.py	318	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
B5-DOC2	docs(supersede): patch 04-27 master implementation guide with Batch15 ✅ FIXED status + SUPERSEDED-BY banner	terrain_stratigraphy.py:1069	veilbreakers_terrain/handlers/terrain_stratigraphy.py	1069	STALE	matches CODEX1 classification after git-show reprobe; line exists, but probe does not match row claim; actual: 1069: # --- Metrics ----------------------------------------------------------
B5-DOC2	docs(supersede): patch 04-27 master implementation guide with Batch15 ✅ FIXED status + SUPERSEDED-BY banner	terrain_texture_layer_stack.py:38	veilbreakers_terrain/handlers/terrain_texture_layer_stack.py	38	VALID	matches CODEX1 classification after git-show reprobe; verified against main line probe; cited code matches row claim
B5-DOC2	docs(supersede): patch 04-27 master implementation guide with Batch15 ✅ FIXED status + SUPERSEDED-BY banner	terrain_cliffs.py:2704,2706	veilbreakers_terrain/handlers/terrain_cliffs.py	2704,2706	STALE	"matches CODEX1 classification after git-show reprobe; ""line exists, but probe does not match row claim; actual: 2704:  | 2706: pass_name=""""cliffs"""","""
B5-DOC3	docs(spec-fix): remove 3 nonexistent build script citations from spec body	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
B5-DOC4	docs(refresh): commit dirty-tree docs (already modified, not committed)	NO_CITE			NO_CITE	no numeric file:line cite in PR row; line probe impossible
